"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1925389439607742749","Thu May 22 03:13:09 +0000 2025","0","jeonghan nakal sihh jadi dimasukin ke barak kan sama kang dedi AWOKWOK","1925389439607742749","","","in","","0","0","0","https://x.com/undefined/status/1925389439607742749","1853023245890666496",
"1925385065380684142","Thu May 22 02:55:46 +0000 2025","112","Ane termasuk yang setuju anak2 yang nakal ituh dikirim ke barak militer biar belajar bagemana berdisiplin pemahaman hukum dll. Dan kalopun mreka yg dikirim ke Barak militer sampe waktu yg ditentukan misih saja Nakal jemput lagi lanjutkan kirim ke Barak Ormas urus KTA skalian https://t.co/JXKppGU248","1925385065380684142","https://pbs.twimg.com/media/GrhXg4EbUAE1a_c.jpg","","in","","1","32","24","https://x.com/undefined/status/1925385065380684142","55200751",
"1925382811374293244","Thu May 22 02:46:48 +0000 2025","0","Tak Nakal Tapi Ikut Program Dedi Mulyadi Siswa Ini Bocorkan Suasana Barak Militer Bisa Main TikTok https://t.co/MSWAfTxJLk lewat @tribunnews","1925382811374293244","","","in","","0","0","0","https://x.com/undefined/status/1925382811374293244","1239919987227127808",
"1925349609960087623","Thu May 22 02:45:18 +0000 2025","0","@Jeonghaan abis nakal ya jadi ke barak?","1925382433563926628","","Jeonghaan","in","","0","1","0","https://x.com/undefined/status/1925382433563926628","1182332905",
"1925030291091161246","Thu May 22 02:20:15 +0000 2025","0","@jhonsitorus_19 @DediMulyadi71 @pramonoanung ngebandingin barak sama perpus ketika isu anak nakal lagi jadi sorotan","1925376126660354400","","jhonsitorus_19","in","","0","0","0","https://x.com/undefined/status/1925376126660354400","1629161418321805313",
"1925176028344746259","Thu May 22 01:39:36 +0000 2025","14","@scoupssf @caratstalk Kang ded bawa aku ke barak jg kang ded aku jg nakal","1925365898506117476","","scoupssf","in","","0","0","0","https://x.com/undefined/status/1925365898506117476","1740000596269375488",
"1925365718805303430","Thu May 22 01:38:53 +0000 2025","0","@DediMulyadi71 si kakek nakal ini tolong dimasukan ke barak militer Kang biar jadi kakek yg baik ke depanya ","1925365718805303430","","DediMulyadi71","in","","0","1","0","https://x.com/undefined/status/1925365718805303430","796326751",
"1925364423579066740","Thu May 22 01:33:44 +0000 2025","0","sunwoo nakal harus ke barak","1925364423579066740","","","in","","0","0","0","https://x.com/undefined/status/1925364423579066740","1884481288591249408",
"1925176028344746259","Thu May 22 01:14:06 +0000 2025","3","@scoupssf @caratstalk Pengen nakal deh biar ketemu Han di barak","1925359480470180194","","scoupssf","in","","0","0","0","https://x.com/undefined/status/1925359480470180194","1751952892758728704",
"1925346291699343452","Thu May 22 00:21:41 +0000 2025","2","Saya bersama Imam Prasodjo &amp; Paulus Wirutomo pernah menangani tawuran di Johar Baru &amp; Manggarai Jkt. Berdsrkan pengalaman empiris sy dukung ggsn Gub. Jabar siswa yg nakal sulit dididik ortu dikirim ke barak TNI utk dibina Sumber: https://t.co/D1qYD3aIDB https://t.co/VfaQYTSqEd https://t.co/8sjgAQoGob","1925346291699343452","https://pbs.twimg.com/media/Grg0P7DboAU9hLG.jpg","","in","","0","0","0","https://x.com/undefined/status/1925346291699343452","1738077678950035456",
"1925226212047376742","Wed May 21 23:52:11 +0000 2025","0","@GariniArdh34856 A-aakh! Ampuuun! Ampun mbak! Aku salah! Aku salah! Jangan dicabut telingaku! teriaknya lebay sambil meringis. Aku bukan anak nakal! Gamau dikirim ke barak! ","1925338865138831592","","garudapatrols","in","","0","0","0","https://x.com/undefined/status/1925338865138831592","1924360658352836608",
"1925030291091161246","Wed May 21 23:35:26 +0000 2025","0","@jhonsitorus_19 @DediMulyadi71 @pramonoanung Disiplinkan &amp; tumbuhkan minat baca anak² nakal di barak militer bangun perpustakaan dlm barak. Setelah lulus mrka diajak berbaur dg para kutu buku di perpustakaan umum.","1925334651201368161","","jhonsitorus_19","in","","0","0","0","https://x.com/undefined/status/1925334651201368161","1787089849172037632",
"1925179963172704409","Wed May 21 23:27:07 +0000 2025","0","@teeramisyoo Udah rapuh dan babak belur aslinya itu tp ttp berusaha tegar di dpan dia nih ambil aja si enyaz atau kirim dia ke barak biar ga nakal lg","1925332557832569291","","teeramisyoo","in","","0","1","0","https://x.com/undefined/status/1925332557832569291","1914221118199898112",
"1925327303271399873","Wed May 21 23:06:14 +0000 2025","1","Beberapa minggu terakhir media sosial geger! Isinya? Kang Dedi Mulyadi dan warganya! Mulai dari program barak militer buat siswa yang nakal sampai video-video lucu yang bikin anak-anak langsung nurut karena takut dijemput Kang Dedi Awas ya nanti dipanggil Kang https://t.co/pg4PE2zZAo","1925327303271399873","https://pbs.twimg.com/amplify_video_thumb/1925225109704589312/img/gGMtTWD_BPmB_VkE.jpg","","in","","0","0","1","https://x.com/undefined/status/1925327303271399873","502140136",
"1925325670902898841","Wed May 21 22:59:45 +0000 2025","3","bawa ajh ke barak nih si ajel nakal @yourhazel_","1925325670902898841","","","in","","0","0","1","https://x.com/undefined/status/1925325670902898841","1892922088396296192",
"1925030291091161246","Wed May 21 22:31:00 +0000 2025","0","@jhonsitorus_19 @DediMulyadi71 @pramonoanung Kang Dedi memilih mengirim anak-anak nakal ke barak militer. Berhasil? Sejauh ini iya. Bagus? Oke juga. Ini indikator berhasil nya apa ya pak? Apakah ada bukti valid yang bisa dipertanggungjawabkan?","1925318437041287289","","jhonsitorus_19","in","","0","1","0","https://x.com/undefined/status/1925318437041287289","3186280902",
"1925303273197904118","Wed May 21 21:30:45 +0000 2025","1","Akhirnya musim ini MU cuma dapet hikmah. Selain anak nakal Shaw dan Onana layak masuk barak KDM","1925303273197904118","","","in","","0","0","0","https://x.com/undefined/status/1925303273197904118","78337225",
"1925279984077418650","Wed May 21 19:58:12 +0000 2025","0","km barudak nakal y msuk barak @ jh /j","1925279984077418650","","","in","","0","0","0","https://x.com/undefined/status/1925279984077418650","1362220152297717760",
"1925237682118303975","Wed May 21 17:10:07 +0000 2025","0","mauu nakal biar dibawa ke barak yg ada taeyong atau jaehyun nya‍↔️‍↔️","1925237682118303975","","","in","","0","0","0","https://x.com/undefined/status/1925237682118303975","1479526853077397507",
"1925128067653243309","Wed May 21 16:58:43 +0000 2025","2","@SammiSoh Yg msh siswa kalo nakal masuk barak yg udah dewasa kalo main ormas2an masuk penjara. Bismillah didenger pemerintah","1925234812832686426","","SammiSoh","in","","0","3","0","https://x.com/undefined/status/1925234812832686426","841628751288913920",
"1925230299501482429","Wed May 21 16:58:02 +0000 2025","0","@scaredycatb Dd iceo pasti shok bngt tw kelakuan bokem yng satu ini ckckck gua kirim ke barak lu ya pak dedi pak dedi ni anaknya nakal","1925234643445711292","","riyelmadrid","in","","0","1","0","https://x.com/undefined/status/1925234643445711292","1673942064688660480",
"1925232037000294415","Wed May 21 16:47:41 +0000 2025","0","Pak Dedi Mulyadi kalo saya nakal tolong kirim saya ke barak Korea","1925232037000294415","","","in","","0","0","0","https://x.com/undefined/status/1925232037000294415","1235955825631301637",
"1925176028344746259","Wed May 21 16:09:21 +0000 2025","3912","@caratstalk gara gara nakal kah dy masuk ke barak","1925222391447437655","","caratstalk","in","","209","65","359","https://x.com/undefined/status/1925222391447437655","1622753770768830464",
"1925154920392712326","Wed May 21 15:47:07 +0000 2025","0","@tbzunyeon WLwkwk biarin aja udeh kali aja dia dimasukinnya ke barak yg khusus bokem nakal ","1925216793729360077","","tbzunyeon","in","","0","1","0","https://x.com/undefined/status/1925216793729360077","892421386811191298",
"1925214955504378172","Wed May 21 15:39:48 +0000 2025","0","Gubernur Jawa Barat Dedi Mulyadi secara berapi-api menegaskan akan melanjutkan program pendidikan di barak militer bagi siswa nakal gelombang kedua. Dedi mengatakan program ini dilanjutkan setelah 273 siswa lulus gelombang pertama dari program pendidikan di barak militer. https://t.co/i01vd21tgZ","1925214955504378172","https://pbs.twimg.com/amplify_video_thumb/1925214810574360576/img/4Vub33PtsQNqB4Es.jpg","","in","","0","0","0","https://x.com/undefined/status/1925214955504378172","132078023",
